round,team1,team2,frequency
R16,Argentina,Spain,30.8
R16,Argentina,Saudi Arabia,29.4
R16,Algeria,Spain,26.8
R16,Morocco,Netherlands,26.0
R16,Brazil,Netherlands,26.0
R16,Colombia,Croatia,23.6
R16,Brazil,Japan,22.5
R16,Japan,Morocco,22.5
R16,Brazil,Sweden,20.7
R16,Colombia,England,20.4
R16,Algeria,Saudi Arabia,20.2
R16,Morocco,Sweden,20.0
R16,Croatia,Portugal,19.6
R16,Panama,Portugal,18.4
R16,Austria,Spain,18.3
R16,Argentina,Uruguay,16.6
Octavos,France,Germany,15.3
Octavos,Germany,Norway,9.4
Octavos,Belgium,Türkiye,9.0
Octavos,Australia,Belgium,8.6
Octavos,Iran,Portugal,8.6
Octavos,England,South Korea,8.5
Octavos,Colombia,Spain,8.0
Octavos,Egypt,Portugal,7.2
Cuartos,Germany,South Korea,7.0
Cuartos,Germany,Morocco,5.7
Cuartos,Germany,Mexico,5.3
Cuartos,Belgium,Spain,5.1
Semis,Germany,South Korea,3.9
Semis,Ecuador,Germany,3.5
Semis,Brazil,Germany,3.4
Final,Belgium,CAMPEON,3.4
Final,Germany,CAMPEON,2.9
Final,Argentina,CAMPEON,2.1
