group,most_likely_order,certainty_pct
A,South Korea > Mexico > Czechia > South Africa,18.1
B,Switzerland > Canada > Bosnia and Herzegovina > Qatar,17.5
C,Brazil > Morocco > Scotland > Haiti,17.1
D,Australia > Türkiye > USA > Paraguay,9.1
E,Germany > Ecuador > Ivory Coast > Curaçao,38.4
F,Netherlands > Japan > Sweden > Tunisia,15.1
G,Belgium > Iran > Egypt > New Zealand,32.9
H,Spain > Saudi Arabia > Uruguay > Cape Verde,14.4
I,France > Norway > Senegal > Iraq,20.5
J,Argentina > Algeria > Austria > Jordan,30.4
K,Portugal > Colombia > DR Congo > Uzbekistan,25.4
L,England > Croatia > Panama > Ghana,17.6
